単位[MW平均],,,供給力
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/5/2,19:30,25247,1314,8569,2817,103,1007,1572,0,477,0,0,246,0,4297,28,4566,252,25248
2026/5/2,20:00,24727,1315,8904,2815,103,1017,1459,0,478,0,0,235,0,3592,27,4536,246,24727
2026/5/2,20:30,24368,1314,8981,2814,103,938,1470,0,478,0,0,223,0,3320,21,4445,261,24368
2026/5/2,21:00,23745,1315,8578,2816,102,926,1468,0,479,0,0,214,0,3314,4,4267,262,23745
2026/5/2,21:30,23127,1315,8090,2816,102,957,1426,0,480,0,0,202,0,3177,2,4292,269,23128
2026/5/2,22:00,22542,1315,8389,2815,102,929,1410,0,480,0,0,219,0,2203,2,4429,249,22542
2026/5/2,22:30,21901,1315,7891,2817,103,985,1405,0,480,0,0,201,0,1674,5,4764,262,21902
2026/5/2,23:00,21594,1315,8070,2816,101,1006,1411,0,479,0,0,202,0,1120,9,4791,274,21594
2026/5/2,23:30,20869,1315,7802,2814,101,965,1410,0,479,0,0,209,0,651,10,4833,280,20869
2026/5/3,0:00,20339,1315,7165,2813,101,941,1412,0,478,0,0,187,0,521,0,5061,346,20340
2026/5/3,0:30,19625,1315,6772,2656,101,974,1417,0,476,0,0,152,0,370,2,5005,385,19625
2026/5/3,1:00,19282,1315,6701,2505,100,946,1399,0,478,0,0,188,0,346,2,4904,397,19281
2026/5/3,1:30,19101,1315,6608,2400,101,932,1385,0,479,0,0,185,0,555,2,4730,409,19101
2026/5/3,2:00,19144,1315,6570,2170,101,936,1381,0,478,0,0,178,0,944,2,4671,399,19145
2026/5/3,2:30,19286,1315,6850,2132,101,959,1380,0,477,0,0,174,0,735,2,4760,401,19286
2026/5/3,3:00,19358,1314,7448,2124,101,870,1378,0,479,0,0,148,0,616,2,4475,401,19356
2026/5/3,3:30,19563,1314,8014,2168,101,877,1375,0,479,0,0,161,0,386,4,4297,387,19563
2026/5/3,4:00,19673,1315,7868,2339,101,864,1370,0,478,0,0,162,0,503,5,4285,383,19673
2026/5/3,4:30,19632,1315,7702,2336,101,923,1361,0,478,0,0,161,0,606,4,4282,362,19631
2026/5/3,5:00,19355,1315,7988,2095,101,953,1359,0,477,98,0,164,0,445,2,4011,347,19355
2026/5/3,5:30,18793,1315,6828,1995,102,916,1372,0,477,545,0,123,0,442,2,4353,323,18793
2026/5/3,6:00,18533,1314,6701,1864,101,955,1374,0,482,1275,0,117,0,21,1,4008,318,18531
